platform,best_page_name,rank,brand_name,product_name,category_large,category_medium,category_small,category_path,price,discount_rate,like_count,review_count,review_score,item_url,thumbnail_url,collected_at
29CM,전체,86,라미네즈,[29CM 단독] Raglan Crew-neck Knit - Sky blue,여성의류,니트웨어,크루넥,여성의류 > 니트웨어 > 크루넥,21580,46,2325,84,4.5,https://product.29cm.co.kr/catalog/3597382,https://img.29cm.co.kr/item/202510/11f0ae605af7ae2bb27dc7a437fdd33f.jpeg,2025-12-24T02:51:00.386137+09:00
29CM,전체,87,썸웨어버터,[4th] Poco Handmade Cowhichan Sweater - Ivory(Blue),여성의류,니트웨어,카디건,여성의류 > 니트웨어 > 카디건,241380,19,6364,10,4.5,https://product.29cm.co.kr/catalog/3628021,https://img.29cm.co.kr/item/202511/11f0bf66f29cd87ba56355f35c341ac7.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,88,오브오브,[13차] BUSH FUR JACKET_CREAM BEIGE,여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,338300,15,5399,18,5.0,https://product.29cm.co.kr/catalog/2902233,https://img.29cm.co.kr/item/202410/11ef8f6fa27b5c718fb23fad0d1e8afd.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,89,온앤온,트렌치 롱 구스 다운 NEP5XHB02_13,여성의류,아우터,롱패딩,여성의류 > 아우터 > 롱패딩,327300,39,13418,109,5.0,https://product.29cm.co.kr/catalog/2290038,https://img.29cm.co.kr/item/202412/11efb6a32d1e75c5852135dc386c5c08.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,90,르바,[6차] Pleats-Back Wool Round Knit - Lilac Pink,여성의류,니트웨어,크루넥,여성의류 > 니트웨어 > 크루넥,94770,19,23387,206,4.5,https://product.29cm.co.kr/catalog/3436285,https://img.29cm.co.kr/item/202508/11f08483f50f7ba3ab5d8710edc656fb.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,91,르메메,High Neck Toggle Fur Jacket Cream,여성의류,아우터,기타 아우터,여성의류 > 아우터 > 기타 아우터,258000,0,7634,58,5.0,https://product.29cm.co.kr/catalog/3640163,https://img.29cm.co.kr/item/202511/11f0c4ff6cfb0579a5631368fbff5352.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,92,아우브아워,[29CM 단독 22차 재입고] lip pencil skirt (4 colors),여성의류,스커트,미디,여성의류 > 스커트 > 미디,78790,30,14153,624,4.5,https://product.29cm.co.kr/catalog/2539516,https://img.29cm.co.kr/item/202409/11ef70b9343fed48a98079e9e8322d32.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,93,몽돌,"[알로하, 여울 PICK] 윈터ver) 원 턱 와이드 슬랙스 차콜 MDPT025FWCHARCOAL",여성의류,바지,와이드,여성의류 > 바지 > 와이드,71060,19,7192,277,5.0,https://product.29cm.co.kr/catalog/2851087,https://img.29cm.co.kr/item/202512/11f0d4bfe7481bf6a540d5f3dc7115c1.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,94,도씨,플러피 퓨어 긴팔 커플 수면 잠옷 세트,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,20590,62,3168,109,4.5,https://product.29cm.co.kr/catalog/3563071,https://img.29cm.co.kr/item/202510/11f09e8bdbe0a2e2be46316ec76f9262.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,95,조스라운지,[누가영 착용] [모달] (w) Helsinki Pajama Set,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,66050,31,22726,3544,5.0,https://product.29cm.co.kr/catalog/824183,https://img.29cm.co.kr/item/202512/11f0cf25a301a95bab9dd956cec89c3d.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,96,댑,댑 윈터원더랜드 수면 잠옷세트 공용,남성의류,홈웨어,세트,남성의류 > 홈웨어 > 세트,29900,55,3933,107,5.0,https://product.29cm.co.kr/catalog/3639027,https://img.29cm.co.kr/next-product/2025/11/12/403b91e41cfd484982c8aebf38ca012f_20251112111054.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,97,몽돌,[빛날영 착용] 소프트 퍼 크롭 자켓 라이트그레이 MDJK047LGRAY,여성의류,단독,아우터,여성의류 > 단독 > 아우터,186200,34,7864,28,5.0,https://product.29cm.co.kr/catalog/3542962,https://img.29cm.co.kr/item/202511/11f0b9ee2e2f449e838803591ca91f4e.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,98,썸웨어버터,Hazel Alpaca V-Neck Knit - Vintage Red,여성의류,단독,상의,여성의류 > 단독 > 상의,96390,19,14997,274,4.5,https://product.29cm.co.kr/catalog/2764374,https://img.29cm.co.kr/item/202509/11f08a4a64e97644b69c319ed6bb8e62.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,99,무브웜,Warmer T-Shirts- 10Colors,레저,요가/필라테스,상의,레저 > 요가/필라테스 > 상의,39000,0,14400,1298,5.0,https://product.29cm.co.kr/catalog/2248441,https://img.29cm.co.kr/item/202509/11f09335dcb90d60be1711c8e0cea92d.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,100,누아르테,[6th] 센느 원숄더 오프 니트 (요거트 핑크),여성의류,니트웨어,기타 니트,여성의류 > 니트웨어 > 기타 니트,46200,38,3027,50,4.5,https://product.29cm.co.kr/catalog/3566684,https://img.29cm.co.kr/item/202510/11f09f5846131799a8b7c32d79624b40.jpeg,2025-12-24T02:51:00.386137+09:00
